Numéro|Nom de Page|Lien image|Largeur|Longueur
f206|98v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f206|3832|5584
f207|99r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f207|3807|5634
f208|99v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f208|3832|5584
f209|100r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f209|3807|5634
f210|100v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f210|3832|5584
f211|101r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f211|3807|5634
f212|101v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f212|3832|5584
f213|102r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f213|3807|5634
f214|102v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f214|3832|5584
f215|103r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f215|3812|5634
f216|103v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f216|3832|5584
f217|104r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f217|3812|5634
f218|104v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f218|3832|5584
f219|105r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f219|3812|5634
f220|105v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f220|3832|5584
f221|106r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f221|3812|5634
f222|106v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f222|3832|5592
f223|107r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f223|3857|5678
f224|107v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f224|3832|5592
f225|108r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f225|3857|5678
f226|108v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f226|3832|5592
f227|109r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f227|3857|5678
f228|109v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f228|3857|5592
f229|110r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f229|3857|5678
f230|110v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f230|3825|5616
f231|111r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f231|3857|5655
f232|111v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f232|3825|5616
f233|112r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f233|3857|5672
f234|112v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f234|3825|5616
f235|113r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f235|3850|5644
f236|113v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f236|3796|5650
f237|114r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f237|3828|5658
f238|114v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f238|3840|5625
f239|115r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f239|3828|5658
f240|115v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f240|3844|5607
f241|116r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f241|3828|5658
f242|116v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f242|3844|5634
f243|117r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f243|3828|5658
f244|117v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f244|3830|5614
f245|118r|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f245|3828|5658
f246|118v|https://gallica.bnf.fr/iiif/ark:/12148/btv1b84259980/canvas/f246|3830|5614
